marine_debris_items,year,decomposition rates of marine debris (years),color
Fishing line,2018,600.0,lightblue
Disposable diaper,2018,450.0,lightblue
Plastic bottle,2018,450.0,lightblue
Plastic beverage holder (six-rings),2018,400.0,lightblue
Aluminimum can,2018,200.0,orange
Foamed buoy,2018,50.0,lightblue
Syrofoam cup,2018,50.0,lightblue
Tin can,2018,50.0,orange
Plastic bag,2018,20.0,lightblue
Cigarette butt,2018,5.0,orange
Photodegradable beverage holder,2018,0.5,orange
Waxed milk carton,2018,0.25,orange
