entity,year,annual_plastic_production_tons,annual_plastic_production_million_tons
World,1980,70000000,70.0
World,1981,72000000,72.0
World,1982,73000000,73.0
World,1983,80000000,80.0
World,1984,86000000,86.0
World,1985,90000000,90.0
World,1986,96000000,96.0
World,1987,104000000,104.0
World,1988,110000000,110.0
World,1989,114000000,114.0
World,1990,120000000,120.0
World,1991,124000000,124.0
World,1992,132000000,132.0
World,1993,137000000,137.0
World,1994,151000000,151.0
World,1995,156000000,156.0
World,1996,168000000,168.0
World,1997,180000000,180.0
World,1998,188000000,188.0
World,1999,202000000,202.0
World,2000,213000000,213.0
World,2001,218000000,218.0
World,2002,231000000,231.0
World,2003,241000000,241.0
World,2004,256000000,256.0
World,2005,263000000,263.0
World,2006,280000000,280.0
World,2007,295000000,295.0
World,2008,281000000,281.0
World,2009,288000000,288.0
World,2010,313000000,313.0
World,2011,325000000,325.0
World,2012,338000000,338.0
World,2013,352000000,352.0
World,2014,367000000,367.0
World,2015,381000000,381.0
World,2016,400050000,400.05
World,2017,420052500,420.0525
World,2018,441055140,441.05514
World,2019,459746020,459.74602
